1,UTELS,116,Софья Жуковский
2,IT-Invest,120,Софья Авраменко
3,Lanet,87,Владимир Шумахер
4,WestNet,31,Диана Шумахер
5,Optinet,14,Анастасия Любимов
6,Vega Telecom,122,Диана Любимов
7,Укртелеком,146,Анастасия Митрофанов
8,Optinet,74,Алексей Авраменко
9,ФРИНЕТ,32,Диана Любимов
10,Triolan,102,Владимир Дюма
11,Mixnet,104,Диана Митрофанов
12,Vega Telecom,108,Анастасия Цой
13,Optinet,73,Анастасия Митрофанов
14,Triolan,113,Софья Жуковский
15,ФРИНЕТ,67,Алексей Шумахер
16,Lanet,44,Кирилл Цой
17,Optinet,27,Владимир Митрофанов
18,UTELS,137,Кирилл Дюма
19,UTELS,3,Евгения Цой
20,Optinet,126,Алексей Митрофанов
21,Lanet,37,Виктор Авраменко
22,WestNet,87,Анастасия Шумахер
23,Optinet,13,Анастасия Дюма
24,WestNet,64,Софья Цой
25,Triolan,111,Виктор Жуковский
26,ФРИНЕТ,75,Александр Цой
27,Lanet,4,Кирилл Жуковский
28,Vega Telecom,9,Александр Шумахер
29,ФРИНЕТ,100,Александр Дюма
30,Vega Telecom,63,Виктор Ефремов
31,Vega Telecom,72,Анастасия Ефремов
32,Lanet,98,Диана Цой
33,Triolan,117,Евгения Дюма
34,UTELS,130,Виктор Цой
35,WestNet,50,Алексей Цой
36,Lanet,88,Евгения Митрофанов
37,ФРИНЕТ,36,Евгения Ефремов
38,IT-Invest,2,Диана Дюма
39,Mixnet,137,Софья Авраменко
40,WestNet,104,Кирилл Митрофанов
41,IT-Invest,1,Виктор Цой
42,WestNet,125,Софья Цой
43,IT-Invest,8,Алексей Авраменко
44,ФРИНЕТ,51,Виктор Дюма
45,Укртелеком,56,Евгения Дюма
46,Vega Telecom,43,Софья Жуковский
47,Optinet,86,Виктор Авраменко
48,Укртелеком,132,Виктор Ефремов
49,IT-Invest,92,Анастасия Авраменко
50,WestNet,115,Анастасия Шумахер
51,Optinet,116,Владимир Шумахер
52,UTELS,30,Евгения Митрофанов
53,Lanet,143,Виктор Любимов
54,Triolan,112,Алексей Цой
55,Triolan,110,Алексей Авраменко
56,Mixnet,98,Кирилл Ефремов
57,Укртелеком,15,Диана Дюма
58,Optinet,125,Владимир Любимов
59,Optinet,117,Диана Цой
60,Укртелеком,149,Диана Любимов
61,Укртелеком,76,Алексей Жуковский
62,UTELS,99,Софья Авраменко
63,Optinet,43,Софья Ефремов
64,IT-Invest,104,Софья Ефремов
65,Vega Telecom,42,Александр Дюма
66,UTELS,88,Виктор Жуковский
67,IT-Invest,81,Софья Митрофанов
68,Optinet,83,Евгения Любимов
69,ФРИНЕТ,104,Виктор Любимов
70,WestNet,43,Виктор Митрофанов
71,ФРИНЕТ,33,Диана Любимов
72,Lanet,40,Александр Ефремов
73,Lanet,51,Владимир Дюма
74,Vega Telecom,68,Евгения Цой
75,Optinet,125,Евгения Митрофанов
76,UTELS,29,Кирилл Ефремов
77,UTELS,72,Евгения Авраменко
78,IT-Invest,63,Диана Авраменко
79,Vega Telecom,22,Евгения Шумахер
80,Vega Telecom,98,Владимир Цой
81,UTELS,119,Кирилл Жуковский
82,Vega Telecom,82,Виктор Ефремов
83,Vega Telecom,47,Софья Дюма
84,UTELS,68,Кирилл Жуковский
85,WestNet,45,Евгения Цой
86,Mixnet,89,Алексей Цой
87,Lanet,26,Кирилл Жуковский
88,Lanet,98,Диана Ефремов
89,IT-Invest,125,Кирилл Жуковский
90,IT-Invest,53,Александр Любимов
91,Optinet,67,Софья Митрофанов
92,WestNet,69,Владимир Ефремов
93,WestNet,32,Алексей Авраменко
94,Vega Telecom,79,Софья Любимов
95,WestNet,136,Алексей Жуковский
96,Lanet,98,Виктор Шумахер
97,Lanet,121,Алексей Авраменко
98,UTELS,43,Кирилл Любимов
99,WestNet,149,Виктор Митрофанов
100,Mixnet,95,Виктор Цой
101,Lanet,80,Александр Дюма
102,WestNet,40,Александр Жуковский
103,Укртелеком,30,Кирилл Дюма
104,Triolan,67,Диана Ефремов
105,ФРИНЕТ,10,Евгения Дюма
106,Vega Telecom,4,Виктор Митрофанов
107,IT-Invest,104,Диана Любимов
108,Optinet,48,Кирилл Авраменко
